,vintage_name,vintage_wine_name,vintage_wine_vintage_type,vintage_wine_is_natural,vintage_wine_region_name,vintage_wine_winery_name,vintage_wine_taste_structure_acidity,vintage_wine_taste_structure_intensity,vintage_wine_taste_structure_sweetness,vintage_wine_taste_structure_tannin,vintage_wine_statistics_ratings_count,vintage_wine_statistics_ratings_average,vintage_year,price_amount,price_type
9273,Vincent Girardin Volnay 1er Cru 'Santenots' 2015,Volnay 1er Cru 'Santenots',0,False,Volnay 1er Cru Santenots,Vincent Girardin,3.8285108,2.7163525,1.5571913,2.2940433,645,4.2,2015,49.0,ppc
9274,Château Siran Margaux 1999,Margaux,0,False,Margaux,Château Siran,4.2068586,3.8494804,1.4791192,3.8419452,9536,4.0,1999,48.0,ppc
9275,Domaine Philippe Charlopin-Parizot Gevrey-Chambertin 'Terres Blanches' 2015,Gevrey-Chambertin 'Terres Blanches',0,False,Gevrey-Chambertin,Domaine Philippe Charlopin-Parizot,4.0105863,3.0321674,1.8146597,2.6893299,478,4.1,2015,47.0,ppc
9276,Louis Jadot Gevrey Chambertin 2016,Gevrey Chambertin,0,False,Gevrey-Chambertin,Louis Jadot,4.117633,2.8768058,1.5342463,2.5291758,3785,4.0,2016,46.9,ppc
9277,Domaine des Beaumont Morey-Saint-Denis 2015,Morey-Saint-Denis,0,False,Morey-Saint-Denis,Domaine des Beaumont,4.0345826,3.0194404,1.7952269,2.8598945,726,4.0,2015,46.0,ppc
9278,Domaine Garon Les Triotes Côte-Rôtie 2019,Les Triotes Côte-Rôtie,0,False,Côte-Rôtie,Domaine Garon,3.9006777,4.2088804,1.6421455,4.024322,1683,4.2,2019,44.5,ppc
9279,Joseph Drouhin Pommard 2017,Pommard,0,False,Pommard,Joseph Drouhin,3.7547557,2.5920565,1.545466,2.3588252,1273,4.1,2017,44.89,ppc
9280,Xavier Vignon Châteauneuf-du-Pape La Réserve X XII XV N.V.,Châteauneuf-du-Pape La Réserve X XII XV,1,False,Châteauneuf-du-Pape,Xavier Vignon,3.3206377,4.2425504,1.9485259,2.7810357,82,4.2,2030,44.9,ppc
9281,Pierre Jean Villa Carmina Côte-Rôtie 2016,Carmina Côte-Rôtie,0,False,Côte-Rôtie,Pierre Jean Villa,3.8980987,4.1625347,1.864812,4.0100536,474,4.2,2016,50.0,ppc
9282,Michel Gros Nuits-Saint-Georges 2017,Nuits-Saint-Georges,0,False,Nuits-Saint-Georges,Michel Gros,4.1225715,3.0416796,1.698761,2.5814307,1053,4.0,2017,43.2,ppc
9283,Château Gazin L'Hospitalet de Gazin Pomerol 2018,L'Hospitalet de Gazin Pomerol,0,False,Pomerol,Château Gazin,3.3878028,4.2098727,1.5225754,3.4712338,7248,4.2,2018,44.9,ppc
9284,Château Beauregard Pomerol 2002,Pomerol,0,False,Pomerol,Château Beauregard,3.3991692,4.23329,1.6646049,3.4867857,6951,4.1,2002,45.6,ppc
9285,Domaine Michel & Sylvie Esmonin Gevrey-Chambertin 2018,Gevrey-Chambertin,0,False,Gevrey-Chambertin,Domaine Michel & Sylvie Esmonin,4.095201,2.9744477,1.6988026,2.7065246,1338,4.1,2018,45.0,ppc
9286,Chanson Pernand-Vergelesses Les Vergelesses 1er Cru 2016,Pernand-Vergelesses Les Vergelesses 1er Cru,0,False,Pernand-Vergelesses Premier Cru,Chanson,3.9456546,2.7402854,1.6047987,2.3760905,915,4.1,2016,49.0,ppc
9287,Domaine Uchida Miracle Haut-Médoc 2018,Miracle Haut-Médoc,0,False,Haut-Médoc,Domaine Uchida,4.3681207,3.4391732,1.27797,4.2230077,166,4.0,2018,45.0,ppc
9288,Domaine Jamet Équivoque Côtes-du-Rhône 2017,Équivoque Côtes-du-Rhône,0,False,Côtes-du-Rhône,Domaine Jamet,3.51964,4.0923195,1.346657,3.430663,250,4.2,2017,45.0,ppc
9289,Clos du Caillou Les Quartz Châteauneuf-du-Pape 2017,Les Quartz Châteauneuf-du-Pape,0,False,Châteauneuf-du-Pape,Clos du Caillou,3.091549,4.741056,1.9114801,2.8707216,1762,4.2,2017,52.5,ppc
9290,Domaine de Marcoux Châteauneuf-du-Pape 2019,Châteauneuf-du-Pape,0,False,Châteauneuf-du-Pape,Domaine de Marcoux,3.1696365,4.609688,1.7189465,2.8382459,4245,4.2,2019,44.0,ppc
